Course,Age at enrollment,Daytime/evening attendance,Area,Caste,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target,Previous Qualification
Physics,16,1,Sikkim,Slaute,1,0,0,1,Male,0,0,0,10.8,1.4,1.74,Dropout,8
Sociology,10,1,Rajasthan,Ambacam,1,0,0,0,Male,0,14,13.66666667,13.9,-0.3,0.79,Graduate,6
English,12,1,Uttaranchal,Chawhan,1,0,0,0,Male,0,0,0,10.8,1.4,1.74,Dropout,8
Music,14,1,Uttar Pradesh,Rajput,1,0,0,1,Female,0,13.42857143,12.4,9.4,-0.8,-3.12,Graduate,6
Chemistry,11,0,Rajasthan,Raghuransi,0,0,0,1,Female,0,12.33333333,13,13.9,-0.3,0.79,Graduate,9
Other,15,0,Pondicherry,Kachhi,0,0,1,1,Male,0,11.85714286,11.5,16.2,0.3,-0.92,Graduate,8
Psychology,10,1,Tripura,Ambalm,1,0,0,1,Female,1,13.3,14.345,15.5,2.8,-4.06,Graduate,7
Sociology,14,1,Chhattisgarh,Velalar,1,0,0,0,Male,0,0,0,15.5,2.8,-4.06,Dropout,7
Political Science,16,1,Delhi,Bhil,0,0,0,1,Female,1,13.875,14.14285714,16.2,0.3,-0.92,Graduate,7
Political Science,11,1,West Bengal,Gujar,1,0,1,0,Female,0,11.4,13.5,8.9,1.4,3.51,Dropout,9
Art,11,1,Rajasthan,Murg,1,0,0,1,Female,0,12.33333333,14.2,13.9,-0.3,0.79,Graduate,7
Psychology,10,1,Jammu & Kashmir,Banjara,1,0,0,1,Female,1,13.21428571,13.21428571,12.7,3.7,-1.7,Graduate,6
Foreign Language,15,1,Nagaland,Vashnav,1,0,0,1,Female,0,0,0,12.7,3.7,-1.7,Dropout,8
Sociology,11,1,Arunachal Pradesh,Sain,1,0,0,1,Female,1,10.57142857,11,8.9,1.4,3.51,Graduate,9
History,16,1,Karnataka,Basade,1,0,0,1,Female,1,13.25,12,10.8,1.4,1.74,Graduate,9
Music,13,1,Madhya Pradesh,Guvati,1,0,0,1,Female,0,13.2,0,15.5,2.8,-4.06,Dropout,7
Political Science,12,1,Telangana,Paraiyar,1,0,0,1,Female,0,12,11,10.8,1.4,1.74,Enrolled,9
Psychology,13,1,Kerala,Manigaicr,1,0,0,1,Female,0,13.30625,14.545,15.5,2.8,-4.06,Graduate,7
Computer Science,15,1,Nagaland,Majhe,1,0,0,1,Female,0,12.5,12.25,10.8,1.4,1.74,Graduate,8
Foreign Language,10,1,Chhattisgarh,Sanyasi,1,0,0,1,Female,0,11.66666667,13.5,16.2,0.3,-0.92,Enrolled,8
Physics,11,1,Ladakh,Lodhi,0,0,0,1,Female,1,0,0,11.1,0.6,2.02,Graduate,7
Physical Education,10,1,Maharashtra,Paraiyar,1,0,0,1,Female,0,11.4375,11.425,12.7,3.7,-1.7,Enrolled,9
Psychology,12,1,Andaman & Nicobar Islands,Nai (Barber),1,0,0,1,Female,0,12.85714286,12.85714286,12.7,3.7,-1.7,Graduate,7
Art,14,1,Mizoram,Varma,1,0,0,1,Female,1,13.375,12.28571429,11.1,0.6,2.02,Graduate,6
Psychology,16,1,Madhya Pradesh,Ambacam,0,0,0,1,Female,0,13.29666667,14.11428571,11.1,0.6,2.02,Graduate,8
Political Science,15,1,Jharkhand,Reddy,1,0,1,1,Female,1,11.6,11,7.6,2.6,0.32,Enrolled,8
Political Science,11,1,Andaman & Nicobar Islands,Muslman (Syed),1,0,0,1,Female,0,11.375,13.28571429,16.2,0.3,-0.92,Graduate,6
History,14,1,Kerala,Dhimer,1,0,0,1,Female,0,12.66666667,13,9.4,-0.8,-3.12,Enrolled,7
Economics,14,1,Assam,Chetiar,1,0,0,1,Female,0,12,12.33333333,16.2,0.3,-0.92,Graduate,6
Psychology,12,1,Pondicherry,Dhoby,1,0,0,1,Male,0,12.93333333,13.71666667,16.2,0.3,-0.92,Enrolled,9
Biology,12,1,Ladakh,Mehra,0,0,0,1,Male,0,11.85714286,10.57142857,16.2,0.3,-0.92,Enrolled,6
English,16,1,Uttaranchal,Kshtriya,1,0,0,1,Male,0,12.83333333,13.4,8.9,1.4,3.51,Graduate,8
Economics,11,1,Ladakh,Kshtriya,0,0,0,0,Male,0,11.33333333,13.5,8.9,1.4,3.51,Enrolled,6
Chemistry,12,0,Assam,Deyar,1,0,0,1,Female,0,12.66666667,14.375,12.4,0.5,1.79,Graduate,9
Other,15,0,Daman & Diu,Chetiar,0,0,0,1,Male,0,12.4,13.42857143,13.9,-0.3,0.79,Graduate,8
Maths,10,1,Punjab,Chaman,0,0,1,0,Male,0,0,10,8.9,1.4,3.51,Dropout,8
Geography,12,1,Karnataka,Kumbhi,1,0,0,1,Male,0,0,0,7.6,2.6,0.32,Dropout,8
Economics,11,1,Arunachal Pradesh,Pillai,0,0,0,1,Female,0,10,12,16.2,0.3,-0.92,Dropout,7
Other,15,0,Rajasthan,Cheetamdr,1,0,0,1,Female,0,11,11.6,7.6,2.6,0.32,Graduate,6
Computer Science,12,1,Kerala,Manker,0,0,1,0,Female,0,11.66666667,12,12.4,0.5,1.79,Dropout,9
Music,12,1,Maharashtra,Sahu (Oilman),0,0,1,1,Female,0,12.75,0,12.7,3.7,-1.7,Dropout,9
Economics,14,1,Gujarat,Goundel,1,0,0,1,Female,0,14.8,15.8,8.9,1.4,3.51,Graduate,8
Psychology,14,1,Lakshadweep,Patkar,1,1,0,1,Female,0,13.928,14.34285714,11.1,0.6,2.02,Graduate,6
Music,10,1,Punjab,Chettiar,0,0,0,0,Female,0,13,13.8,12.4,0.5,1.79,Dropout,9
Other,11,0,Orissa,Nanda,0,0,0,1,Female,0,0,0,16.2,0.3,-0.92,Dropout,7
